id,createdAt,updatedAt,deletedAt,date,name,address,point,status,priceInCents,verified,logoPath,link,linkDisplay,polygon,groupID,pricePerN,approved,lat,lng,google_maps_url,price_in_dollars,local_time,updatedAt_local_time,createdAt_local_time
32c703f8-0102-43bd-a713-f4ea01fcdc78,2022-01-13T03:41:51.628Z,2022-01-13T08:47:45.207Z,,2022-01-13T03:41:51.327Z,Chemist Warehouse Darwin,"The Zone, Shop 4/798 Vanderlin Dr, Berrimah NT 0828, Australia","{'type': 'Point', 'coordinates': [130.9230235, -12.4320284]}",IN_STOCK,5000.0,False,,,,,,5.0,True,-12.4320284,130.9230235,"https://maps.google.com/maps?q=The Zone, Shop 4/798 Vanderlin Dr, Berrimah NT 0828, Australia",50.0,2022-01-13 14:41:51.327000+11:00,2022-01-13 19:47:45.207000+11:00,2022-01-13 19:47:45.207000+11:00
92b2707f-67a6-4b6b-9287-7cabb8c237ed,2022-01-13T02:46:35.726Z,2022-01-13T02:46:35.726Z,,2022-01-13T02:46:35.427Z,Budget Petrol Chester Hill,"41 Boundary Rd, Chester Hill NSW 2162, Australia","{'type': 'Point', 'coordinates': [151.0071808, -33.8737926]}",IN_STOCK,,False,,,,,,,True,-33.8737926,151.0071808,"https://maps.google.com/maps?q=41 Boundary Rd, Chester Hill NSW 2162, Australia",,2022-01-13 13:46:35.427000+11:00,2022-01-13 13:46:35.726000+11:00,2022-01-13 13:46:35.726000+11:00
7992b2ef-ae3b-4ec9-a827-c788f04ab280,2022-01-13T02:29:12.138Z,2022-01-13T02:29:12.138Z,,2022-01-13T02:29:11.835Z,Chemist Warehouse Mowbray,"8/25 Vermont Rd, Mowbray TAS 7248, Australia","{'type': 'Point', 'coordinates': [147.13527, -41.405787]}",IN_STOCK,5000.0,False,,,,,,5.0,True,-41.405787,147.13527,"https://maps.google.com/maps?q=8/25 Vermont Rd, Mowbray TAS 7248, Australia",50.0,2022-01-13 13:29:11.835000+11:00,2022-01-13 13:29:12.138000+11:00,2022-01-13 13:29:12.138000+11:00
68bc22dc-f108-47d5-8e2a-09ac87e9ce7d,2022-01-13T02:09:35.760Z,2022-01-13T02:09:35.760Z,,2022-01-13T02:09:35.458Z,Priceline Pharmacy Cabramatta,"67 John St, Cabramatta NSW 2166, Australia","{'type': 'Point', 'coordinates': [150.9364651, -33.894813]}",IN_STOCK,3500.0,False,,,,,,2.0,True,-33.894813,150.9364651,"https://maps.google.com/maps?q=67 John St, Cabramatta NSW 2166, Australia",35.0,2022-01-13 13:09:35.458000+11:00,2022-01-13 13:09:35.760000+11:00,2022-01-13 13:09:35.760000+11:00
3496cb82-d4d0-44f0-9178-f516852e6af6,2022-01-13T02:09:14.797Z,2022-01-13T02:09:14.797Z,,2022-01-13T02:09:14.486Z,Metro Petroleum Hurlstone,"11 Canterbury Rd, Hurlstone Park NSW 2193, Australia","{'type': 'Point', 'coordinates': [151.1254005, -33.9077062]}",IN_STOCK,3000.0,False,,,,,,1.0,True,-33.9077062,151.1254005,"https://maps.google.com/maps?q=11 Canterbury Rd, Hurlstone Park NSW 2193, Australia",30.0,2022-01-13 13:09:14.486000+11:00,2022-01-13 13:09:14.797000+11:00,2022-01-13 13:09:14.797000+11:00
c0e94e75-a4e3-487c-bdbc-ac61bbe19882,2022-01-13T01:54:41.545Z,2022-01-13T01:54:41.545Z,,2022-01-13T01:54:41.243Z,Shopsmart Wholesale Pharmacy,"Shop U26/271 Queen St, Campbelltown NSW 2560, Australia","{'type': 'Point', 'coordinates': [150.8108809, -34.0688709]}",IN_STOCK,2000.0,False,,,,,,1.0,True,-34.0688709,150.8108809,"https://maps.google.com/maps?q=Shop U26/271 Queen St, Campbelltown NSW 2560, Australia",20.0,2022-01-13 12:54:41.243000+11:00,2022-01-13 12:54:41.545000+11:00,2022-01-13 12:54:41.545000+11:00
2475c1aa-5905-4cbc-b395-991deb58bfa3,2022-01-13T01:53:32.272Z,2022-01-13T08:30:32.806Z,,2022-01-13T01:53:31.971Z,Leeton District Hospital,"Cnr Wade Avenue and, Palm Ave, Leeton NSW 2705, Australia","{'type': 'Point', 'coordinates': [146.4086553, -34.5450148]}",IN_STOCK,,False,,,,,,,True,-34.5450148,146.4086553,"https://maps.google.com/maps?q=Cnr Wade Avenue and, Palm Ave, Leeton NSW 2705, Australia",,2022-01-13 12:53:31.971000+11:00,2022-01-13 19:30:32.806000+11:00,2022-01-13 19:30:32.806000+11:00
43a33168-4292-4110-b749-e3c4f5b07775,2022-01-13T01:37:03.650Z,2022-01-13T05:01:13.559Z,,2022-01-13T01:37:03.341Z,Lloyds IGA Panania,"219-223 Tower St, Panania NSW 2213, Australia","{'type': 'Point', 'coordinates': [150.9986267, -33.9563599]}",IN_STOCK,1650.0,False,,,,,,1.0,True,-33.9563599,150.9986267,"https://maps.google.com/maps?q=219-223 Tower St, Panania NSW 2213, Australia",16.5,2022-01-13 12:37:03.341000+11:00,2022-01-13 16:01:13.559000+11:00,2022-01-13 16:01:13.559000+11:00
3f7c9432-c4bd-44b3-a47b-1fcc7e7d2234,2022-01-13T00:43:28.256Z,2022-01-13T00:43:28.256Z,,2022-01-13T00:43:27.956Z,Coolah Pharmacy,"55 Binnia St, Coolah NSW 2843, Australia","{'type': 'Point', 'coordinates': [149.719938, -31.8237415]}",IN_STOCK,8000.0,False,,,,,,5.0,True,-31.8237415,149.719938,"https://maps.google.com/maps?q=55 Binnia St, Coolah NSW 2843, Australia",80.0,2022-01-13 11:43:27.956000+11:00,2022-01-13 11:43:28.256000+11:00,2022-01-13 11:43:28.256000+11:00
4939962f-6183-48d3-8f81-6023a47de431,2022-01-12T23:06:31.544Z,2022-01-12T23:06:31.544Z,,2022-01-12T23:06:31.242Z,Liberty News,"Shop 7/256 Chapel Rd, Bankstown NSW 2200, Australia","{'type': 'Point', 'coordinates': [151.0311286, -33.9204223]}",IN_STOCK,1500.0,False,,,,,,1.0,True,-33.9204223,151.0311286,"https://maps.google.com/maps?q=Shop 7/256 Chapel Rd, Bankstown NSW 2200, Australia",15.0,2022-01-13 10:06:31.242000+11:00,2022-01-13 10:06:31.544000+11:00,2022-01-13 10:06:31.544000+11:00
