id,createdAt,updatedAt,deletedAt,date,name,address,point,status,priceInCents,verified,logoPath,link,linkDisplay,polygon,groupID,pricePerN,approved,isExpired,isManaged,lat,lng,google_maps_url,price_in_dollars,date_local_time,updatedAt_local_time,createdAt_local_time,last_updated_mins_ago
855cffc7-a997-4681-a357-fb7548af8fb5,2022-01-21T00:59:23.737Z,2022-01-21T00:59:23.737Z,,2022-01-21T00:59:23.372Z,Pharmacy 4 Less Curlewis - Supercare Pharmacy,"10, 11/90 Centennial Blvd, Curlewis VIC 3222, Australia","{'type': 'Point', 'coordinates': [144.5446747, -38.1686274]}",IN_STOCK,2995.0,False,,,,,,2.0,True,False,False,-38.1686274,144.5446747,"https://maps.google.com/maps?q=-38.1686274,144.5446747",29.95,2022-01-21 11:59:23.372000+11:00,2022-01-21 11:59:23.737000+11:00,2022-01-21 11:59:23.737000+11:00,555
365f952b-e986-4017-a641-13c9891fa62c,2022-01-21T00:58:05.522Z,2022-01-21T00:58:05.522Z,,2022-01-21T00:58:05.201Z,Pharmacy 4 Less Parkmore,"Shop J01 Parkmore Shopping Centre, 317-321 Cheltenham Rd, Keysborough VIC 3173, Australia","{'type': 'Point', 'coordinates': [145.173522, -37.99314]}",IN_STOCK,2995.0,False,,,,,,2.0,True,False,False,-37.99314,145.173522,"https://maps.google.com/maps?q=-37.99314,145.173522",29.95,2022-01-21 11:58:05.201000+11:00,2022-01-21 11:58:05.522000+11:00,2022-01-21 11:58:05.522000+11:00,556
3fcaeee1-3472-4694-8fb0-c057cc24deff,2022-01-21T00:56:59.957Z,2022-01-21T00:56:59.957Z,,2022-01-21T00:56:59.637Z,Coles,"Mountain Gate SC, Ferntree Gully Rd, Ferntree Gully VIC 3156, Australia","{'type': 'Point', 'coordinates': [145.2753251, -37.8836959]}",IN_STOCK,2000.0,False,,,,,,,True,False,False,-37.8836959,145.2753251,"https://maps.google.com/maps?q=-37.8836959,145.2753251",20.0,2022-01-21 11:56:59.637000+11:00,2022-01-21 11:56:59.957000+11:00,2022-01-21 11:56:59.957000+11:00,557
3d3215d0-d96d-4bcf-af59-14ea80d14557,2022-01-21T00:47:38.755Z,2022-01-21T00:47:38.755Z,,2022-01-21T00:47:38.396Z,Edgars road convenience store,"13 Edgars Rd, Thomastown VIC 3074, Australia","{'type': 'Point', 'coordinates': [145.0015598, -37.6910836]}",IN_STOCK,2000.0,False,,,,,,1.0,True,False,False,-37.6910836,145.0015598,"https://maps.google.com/maps?q=-37.6910836,145.0015598",20.0,2022-01-21 11:47:38.396000+11:00,2022-01-21 11:47:38.755000+11:00,2022-01-21 11:47:38.755000+11:00,567
ae5d8989-c1f8-4f8f-8631-66256183ca1b,2022-01-21T00:45:28.972Z,2022-01-21T00:45:28.972Z,,2022-01-21T00:45:28.650Z,Pharmacy 4 Less Keysborough South,"Keysborough South Shopping Centre, 211 Chapel Rd, Keysborough VIC 3173 FAX, Keysborough VIC 9013 9478, Australia","{'type': 'Point', 'coordinates': [145.1603295, -38.0117133]}",IN_STOCK,2999.0,False,,,,,,2.0,True,False,False,-38.0117133,145.1603295,"https://maps.google.com/maps?q=-38.0117133,145.1603295",29.99,2022-01-21 11:45:28.650000+11:00,2022-01-21 11:45:28.972000+11:00,2022-01-21 11:45:28.972000+11:00,569
31eb4d98-ec61-4e93-be26-8a8cc79e053a,2022-01-21T00:45:24.763Z,2022-01-21T00:45:24.763Z,,2022-01-21T00:45:24.433Z,Pharmacy 4 Less Evans rd Cranbourne,"T14/765 Hall Rd, Cranbourne West VIC 3977, Australia","{'type': 'Point', 'coordinates': [145.2524747, -38.1079378]}",IN_STOCK,2995.0,False,,,,,,2.0,True,False,False,-38.1079378,145.2524747,"https://maps.google.com/maps?q=-38.1079378,145.2524747",29.95,2022-01-21 11:45:24.433000+11:00,2022-01-21 11:45:24.763000+11:00,2022-01-21 11:45:24.763000+11:00,569
65ffa9d9-8bac-49a8-96bc-4e8f9887b6fc,2022-01-21T00:41:47.766Z,2022-01-21T00:41:47.766Z,,2022-01-21T00:41:47.408Z,Bundoora Medical Centre Pharmacy,"2/12 Ormond Blvd, Bundoora VIC 3083, Australia","{'type': 'Point', 'coordinates': [145.0714695, -37.6797203]}",IN_STOCK,4000.0,False,,,,,,2.0,True,False,False,-37.6797203,145.0714695,"https://maps.google.com/maps?q=-37.6797203,145.0714695",40.0,2022-01-21 11:41:47.408000+11:00,2022-01-21 11:41:47.766000+11:00,2022-01-21 11:41:47.766000+11:00,573
6211909c-700b-4428-8759-61f28fbca8fc,2022-01-21T00:34:40.400Z,2022-01-21T00:34:40.400Z,,2022-01-21T00:34:40.080Z,Chemist Warehouse Tarneit Gardens Shopping Centre,"Shop 17&18 Tarneit Gardens S/C, 747 Tarneit Rd, Tarneit VIC 3029, Australia","{'type': 'Point', 'coordinates': [144.6738398, -37.8399175]}",IN_STOCK,,False,,,,,,,True,False,False,-37.8399175,144.6738398,"https://maps.google.com/maps?q=-37.8399175,144.6738398",,2022-01-21 11:34:40.080000+11:00,2022-01-21 11:34:40.400000+11:00,2022-01-21 11:34:40.400000+11:00,580
3ea921d0-6653-431b-985f-98a42b134e01,2022-01-21T00:34:33.712Z,2022-01-21T00:34:33.712Z,,2022-01-21T00:34:33.391Z,Caroline Springs Pharmacy,"29-35 Lake St, Caroline Springs VIC 3023, Australia","{'type': 'Point', 'coordinates': [144.7431845, -37.7324151]}",IN_STOCK,2995.0,False,,,,,,2.0,True,False,False,-37.7324151,144.7431845,"https://maps.google.com/maps?q=-37.7324151,144.7431845",29.95,2022-01-21 11:34:33.391000+11:00,2022-01-21 11:34:33.712000+11:00,2022-01-21 11:34:33.712000+11:00,580
4452afd6-7fd1-498a-8065-ec24df2fb2bb,2022-01-21T00:06:22.250Z,2022-01-21T00:06:22.250Z,,2022-01-21T00:06:21.892Z,Waterfall Gully Pharmacy,"79 Old Cape Schanck Rd, Rosebud VIC 3939, Australia","{'type': 'Point', 'coordinates': [144.9108411, -38.3766124]}",IN_STOCK,4000.0,False,,,,,,2.0,True,False,False,-38.3766124,144.9108411,"https://maps.google.com/maps?q=-38.3766124,144.9108411",40.0,2022-01-21 11:06:21.892000+11:00,2022-01-21 11:06:22.250000+11:00,2022-01-21 11:06:22.250000+11:00,608
33b71d95-a301-4020-820b-501b1a7dabed,2022-01-20T23:58:08.002Z,2022-01-21T01:53:50.789Z,,2022-01-20T23:58:07.644Z,Bebe Nails & Lashes Mentone,"53 Florence St, Mentone VIC 3194, Australia","{'type': 'Point', 'coordinates': [145.064124, -37.9825876]}",IN_STOCK,,False,,,,,,1.0,True,False,False,-37.9825876,145.064124,"https://maps.google.com/maps?q=-37.9825876,145.064124",,2022-01-21 10:58:07.644000+11:00,2022-01-21 12:53:50.789000+11:00,2022-01-21 10:58:08.002000+11:00,501
2bdaf665-7b40-4da9-ba26-5e1c73dfee00,2022-01-20T23:44:23.992Z,2022-01-20T23:44:23.992Z,,2022-01-20T23:44:23.673Z,APCO Service Stations Bacchus Marsh,"13 Gisborne Rd, Bacchus Marsh VIC 3340, Australia","{'type': 'Point', 'coordinates': [144.435643, -37.674393]}",IN_STOCK,2999.0,False,,,,,,2.0,True,False,False,-37.674393,144.435643,"https://maps.google.com/maps?q=-37.674393,144.435643",29.99,2022-01-21 10:44:23.673000+11:00,2022-01-21 10:44:23.992000+11:00,2022-01-21 10:44:23.992000+11:00,630
